series,model,true,fcast_50,fcast_avg,fcast_05,fcast_95,yar,yhw,ysvm,ylstm,ymlp,yrf,yxgb,yarima
0,YW,1234,6691.906923,353136.1349,65.53882728,2041782.488,160747.2861,206237.4406,329056.9372,187508.5782,199070.2782,318201.7093,474280.6106,168351.2609
1,YW,486,610.540714,3518.870389,10.26945565,16063.91134,2660.957816,3039.336706,4532.020295,3031.122123,3073.94787,3758.498953,4624.101962,3119.465497
2,YW,373,804.6612449,1645.001493,155.2820884,7651.729542,101.6876159,85.69622975,70.73835918,92.85367075,96.59806841,78.41385143,52.34192818,88.17274058
3,YW,73,341.305954,2858.102453,14.36366189,18818.57783,63.07690526,56.90871252,30.8255955,48.54720615,48.6359272,28.93883907,15.72333727,74.07725856
4,YW,1240,828.9385744,1970955.148,0.332918392,16056378.99,2258868.552,1136824.704,2489239.568,1282046.075,830886.703,647366.6881,229104.4371,1218744.639
5,YW,239,900.7296605,3887073.588,1.685020986,459541.3095,466.8794732,227.0527299,609.1285324,283.6078146,431.1402102,115.0701354,63.37302844,335.0512261
6,YW,368,1231.544911,1921.481995,237.7205454,5597.0523,5224.138102,4661.619063,5919.613971,4527.174234,5683.360974,4560.888095,4503.309027,5281.632691
7,YW,65,119.5294535,314.0341978,13.93030242,1473.755767,550.4993436,441.9272655,851.3840436,763.1131114,629.0213492,481.6090433,624.0873766,410.6582879
8,YW,1281,3648.442238,29589232.61,1.444094978,4692390.232,3.948712119,2.136336769,1.144811958,4.061649243,4.203009152,0.813931022,0.273358566,1.42142865
9,YW,378,1330.168691,27073.23635,2.82587752,123130.2785,14267.95902,10195.1115,28181.09619,11368.21393,8909.681042,7609.088216,7696.123963,8464.237531
