model,bias,mape,me,mae,mpe,rmse,acf1,corr
fcast_50,-0.8999999999999986,0.07520589225589226,-0.08999999999999986,1.45,0.0015136844636844734,1.5865055940651456,0.1418510104029655,0.9529438539781647
fcast_avg,3.200000000000001,0.05971189921189923,0.3200000000000001,1.1000000000000005,0.024655622155622163,1.1610340218959998,-0.5245985870263333,0.9768148516429338
fcast_05,-59.69999999999999,0.2975918794168794,-5.969999999999999,5.969999999999999,-0.2975918794168794,6.588816282155696,-0.3107777034330125,0.8589226810686817
fcast_95,45.8,0.24679546194546192,4.58,4.58,0.24679546194546192,5.261748758730314,-0.32482413258614534,0.890582636420117
yar,30.300000000000004,0.1701435730935731,3.0300000000000002,3.0300000000000002,0.1701435730935731,3.258066911528983,-0.1536782651140082,0.9773434690309047
yhw,19.1,0.14854646279646277,1.9100000000000001,2.63,0.11628455803455803,2.8679260799399975,0.019705477506609198,0.910285848903381
ysvm,18.7,0.17803889258889255,1.8699999999999999,3.11,0.1125574111074111,3.617595886773424,-0.2656583351581319,0.8240496837163058
ylstm,15.2,0.18588897768897772,1.52,3.460000000000001,0.08616297036297038,3.892043165228259,0.6539041565401632,0.7988863605431875
ymlp,15.599999999999998,0.13534017094017095,1.5599999999999998,2.42,0.09987350427350428,2.776688675382964,-0.026374042908043512,0.895821672903863
yrf,23.3,0.11650482480482478,2.33,2.33,0.11650482480482478,2.5990382836734054,-0.13640751074579602,0.9800748406897983
yxgb,33.1,0.19717633477633476,3.31,3.55,0.18794556554556552,3.8495454277096144,0.26453959460508925,0.925201131438917
yarima,14.800000000000004,0.1050162818662819,1.4800000000000004,1.9800000000000004,0.084140860990861,2.109502310972899,-0.48169587537617276,0.9566795114456201
